draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed,Unnamed: 30
2014,23,15,81.0,81.75,88.0,109.0,32.87041326249267,142.64880016587796,28.20793428706525,239,7.6,9.25,9.5,138,8.9,1,1,0.526,0.41,0.76,0,1,0,1,107,
2009,23,24,78.25,79.5,84.75,106.0,37.0,143.0,30.0,224,8.2,9.25,8.5,142,13.5,1,1,0.479,0.36,0.64,1,0,0,1,39,
2013,23,0,73.0,75.0,76.0,97.5,37.30417896451271,133.34946159461506,30.942744517044414,179,9.6,8.0,8.25,141,14.9,1,1,0.431,0.39,0.83,1,0,0,0,118,
2014,23,24,71.0,73.0,75.25,93.0,37.5,130.5,30.5,175,7.4,8.25,8.5,143,13.7,1,1,0.41100000000000003,0.38,0.81,1,0,0,1,231,
2010,20,7,81.75,83.0,86.25,108.5,29.0,137.5,25.0,247,11.2,8.75,9.5,65,14.5,1,1,0.5429999999999999,0.27,0.68,0,0,1,1,587,
2009,23,28,76.75,78.0,79.25,101.0,28.0,129.0,24.5,197,6.9,7.75,9.25,136,16.0,1,1,0.425,0.33,0.83,1,0,0,1,401,
2009,23,29,73.0,74.0,78.0,97.5,32.5,130.0,28.0,183,5.2,8.334784432252874,9.084903183316401,130,16.8,1,1,0.442,0.38,0.8,1,0,0,1,394,
2014,22,42,73.5,75.0,79.25,96.5,41.5,138.0,33.5,198,6.1,8.75,9.75,108,12.3,1,1,0.42100000000000004,0.36,0.73,1,0,0,1,28,
2011,22,32,80.0,80.75,83.75,106.0,33.0,139.0,28.5,228,4.0,9.0,9.25,137,10.6,1,1,0.483,0.38,0.71,0,1,0,1,22,
2010,24,41,80.25,82.0,87.5,109.5,32.5,142.0,29.5,210,9.5,9.25,9.5,141,10.0,1,1,0.589,0.25,0.6,0,1,0,1,37,
2014,19,9,80.0,81.5,88.25,108.0,37.0,145.0,31.0,247,7.3,9.75,11.75,30,11.3,1,1,0.523,0.49,0.72,0,1,0,1,231,
2012,22,22,82.75,84.0,86.5,110.0,31.0,141.0,29.5,255,9.2,9.0,10.0,63,4.9,1,1,0.5760000000000001,0.0,0.55,0,0,1,1,6,
2015,20,0,81.25,82.5,87.25,111.5,31.906551153357874,142.06759150517402,27.6134103240263,216,14.7,9.25,10.75,63,10.4,1,1,0.47700000000000004,0.26,0.75,0,1,0,0,30,
2014,22,46,75.25,77.0,80.0,98.0,38.5,136.5,33.0,186,4.3,8.25,9.0,93,15.4,1,1,0.44,0.32,0.81,1,0,0,1,299,
2013,23,33,76.75,78.25,81.25,103.5,38.5,142.0,32.0,203,3.3,8.5,9.5,94,10.2,1,1,0.456,0.33,0.7,1,0,0,1,7,
2012,21,39,78.75,80.25,82.75,103.0,31.0,134.0,28.0,216,7.8,9.0,9.0,87,11.3,1,1,0.431,0.32,0.77,0,1,0,1,376,
2012,22,47,77.0,78.25,78.75,99.0,36.5,135.5,31.0,194,5.8,8.5,8.5,128,15.8,1,1,0.44299999999999995,0.37,0.73,1,0,0,1,17,
