name,player,college,draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed,success
Gani Lawal,34,Georgia Institute of Technology,2009,22,46,79.75,81,84,106,34.5,140.5,30,229,7.2,8.5,10,99,11.8,1,1,0.548,0,0.55,0,1,0,1,1,
A.J. Price,35,University of Connecticut,2009,23,52,72.5,74,75.75,97,31,128,26,193,12.4,,,99,13,1,1,0.413,0.37,0.72,1,0,0,1,261,
Luke Harangody,36,University of Notre Dame,2009,22,52,78.25,80,81.75,106,31,137,27,240,11.2,8.75,9.75,129,19.2,1,1,0.476,0.33,0.78,0,1,0,1,70,
Patty Mills,37,Saint Mary's College of California,2009,21,55,71.25,72.5,74,95,33,128,27.5,175,6.9,,,58,16.4,1,1,0.415,0.33,0.81,1,0,0,1,521,
Jonny Flynn,38,Syracuse University,2009,20,6,71.25,72.75,76,95.5,40,135.5,33,196,6.3,,,73,16.6,1,1,0.46,0.33,0.78,1,0,0,1,163,
Stephen Curry,39,Davidson College,2009,21,7,74,75.25,75.5,97,35.5,132.5,29.5,181,5.7,,,104,25.3,1,1,0.467,0.41,0.88,1,0,0,1,625,
Jordan Hill,40,University of Arizona,2009,22,8,81.25,82.25,85.5,108,35,143,31,232,6,,,97,12.5,1,1,0.578,0,0.64,0,0,1,1,409,
Demar DeRozan,41,University of Southern California,2009,20,9,77.5,78.5,81,102.5,38.5,141,29,211,4.9,,,35,13.9,1,1,0.523,0.17,0.65,1,0,0,1,673,
Dionte Christmas,42,Temple University,2009,27,0,76.25,77.5,81,102.5,33.5,136,27,211,7.1,,,130,15.7,1,1,0.426,0.36,0.78,1,0,0,0,31,
Jeff Adrien,43,University of Connecticut,2009,24,0,77.25,78.5,86,107.5,31.5,139,27.5,236,7.9,,,133,12.1,1,1,0.515,0.33,0.61,0,1,0,0,153,
Jerel McNeal,44,Marquette University,2009,27,0,73.5,75,79.25,99.5,36.5,136,31.5,190,5.4,,,130,15.3,1,1,0.44,0.35,0.72,1,0,0,0,6,
Joe Ingles,45,0,2009,27,0,79.75,80.25,82.25,105,31,136,26,209,10.1,,,0,0,1,1,0,0,0,0,1,0,0,322,
John Wall,46,University of Kentucky,2010,20,1,74.75,76,81.25,101.5,39,140.5,30,196,5.6,8.25,9.5,37,16.6,1,1,0.461,0.33,0.75,1,0,0,1,540,
Paul George,47,"California State University, Fresno",2010,20,10,79.75,80.75,83.25,107,,,,214,5,8.5,9,63,15.5,1,1,0.447,0.4,0.8,0,1,0,1,525,
Cole Aldrich,48,University of Kansas,2010,22,11,81,83.25,88.75,111.5,28,139.5,23,236,8.5,9,9.25,111,9.4,1,1,0.574,0,0.73,0,0,1,1,338,
Xavier Henry,49,University of Kansas,2010,19,12,77.25,78.5,83.25,105,36.5,141.5,28.5,210,4.7,8.75,10,36,13.4,1,1,0.458,0.42,0.78,1,0,0,1,185,
Ed Davis,50,University of North Carolina,2010,21,13,81,81.75,84,108,36,144,31,227,10,9.25,10,61,9.2,1,1,0.548,0,0.62,0,1,0,1,557,
Patrick Patterson,51,University of Kentucky,2010,21,14,80,81.25,85.25,107,33.5,140.5,28.5,240,5.3,9.25,10.25,97,16.1,1,1,0.585,0.33,0.73,0,1,0,1,557,
Larry Sanders,52,Virginia Commonwealth University,2010,22,15,81.25,82.5,89.75,112,28,140,25.5,222,4.6,9.75,11,101,10.3,1,1,0.52,0.25,0.58,0,0,1,1,238,
Luke Babbitt,53,"University of Nevada, Reno",2010,21,16,79.5,80.75,83.25,104.5,37.5,142,29.5,218,5.6,8.5,10,68,19.4,1,1,0.48,0.42,0.89,0,1,0,1,381,
Eric Bledsoe,54,University of Kentucky,2010,21,18,72.25,73.5,79.5,98,,,,192,5.6,8.5,9.75,37,11.3,1,1,0.462,0.38,0.67,1,0,0,1,490,
Avery Bradley,55,University of Texas at Austin,2010,20,19,74,75.25,79.25,98.5,37.5,136,31.5,180,4,8.25,9.5,34,11.6,1,1,0.432,0.38,0.55,1,0,0,1,459,
Evan Turner,56,Ohio State University,2010,22,2,77.75,79,80,103.5,34.5,138,27.5,214,8.6,8.75,9.5,101,15,1,1,0.502,0.36,0.76,1,0,0,1,611,
James Anderson,57,Oklahoma State University,2010,21,20,76.75,77.75,80.5,104,35.5,139.5,30,208,7.9,9,7,101,17.9,1,1,0.46,0.38,0.8,1,0,0,1,247,
Craig Brackins,58,Iowa State University,2010,23,21,80.5,81.75,84,109,35,144,26,229,7.9,9.5,11.25,96,16,1,1,0.445,0.29,0.73,0,1,0,1,17,
Trevor Booker,59,Clemson University,2010,23,23,78.25,79.5,81.75,106,36,142,31,236,7.3,9,9.5,134,12.9,1,1,0.559,0.32,0.62,0,1,0,1,531,
