name,player,college,draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed,success
Terrence Jones,139,University of Kentucky,2012,20,18,80.25,81.5,86.25,107,34.5,141.5,29.5,252,7.7,9,10,76,14,1,1,0.467,0.33,0.64,0,1,0,1,232,
Andrew Nicholson,140,St. Bonaventure University,2012,23,19,80.5,81.5,88,107,30.5,137.5,28.5,234,7.6,10,10.75,123,17.1,1,1,0.575,0.38,0.72,0,1,0,1,285,
Michael Kidd-Gilchrist,141,University of Kentucky,2012,19,2,77.75,79.5,84,104.5,35.5,140,32,233,7,9,10.25,40,11.9,1,1,0.491,0.26,0.75,0,1,0,1,356,
Jared Sullinger,142,Ohio State University,2012,20,21,79.75,81,85.25,105.5,31,136.5,29.5,268,10.7,9.25,9.75,74,17.3,1,1,0.53,0.37,0.73,0,1,0,1,269,
Fab Melo,143,Syracuse University,2012,22,22,82.75,84,86.5,110,31,141,29.5,255,9.2,9,10,63,4.9,1,1,0.576,0,0.55,0,0,1,1,6,
John Jenkins,144,Vanderbilt University,2012,21,23,75.25,76.25,80.5,98,36.5,134.5,30.5,212,7.1,9,9,98,16.9,1,1,0.468,0.44,0.86,1,0,0,1,145,
Jared Cunningham,145,Oregon State University,2012,21,24,75.5,77,78.5,98,,,,188,3.6,8.25,9,98,13,1,1,0.455,0.34,0.75,1,0,0,1,84,
Tony Wroten,146,University of Washington,2012,19,25,76.75,78,81,101,35.5,136.5,30,203,5.2,8,9,35,16,1,1,0.443,0.16,0.58,1,0,0,1,145,
Miles Plumlee,147,Duke University,2012,24,26,82.5,83.75,84.75,105.5,40.5,146,34,252,11.4,9.25,9,135,4.8,1,1,0.557,1,0.63,0,0,1,1,327,
Arnett Moultrie,148,"University of Texas at El Paso, Mississippi State University",2012,22,27,81.5,82.75,86.25,106.5,37.5,144,33.5,233,7.7,9.25,9.25,100,11.4,1,1,0.511,0.29,0.68,0,1,0,1,59,
Perry Jones,149,Baylor University,2012,21,28,82.25,83.25,85.75,107,38.5,145.5,33,234,4.6,9.25,9.5,63,13.7,1,1,0.522,0.28,0.68,0,1,0,1,143,
Marquis Teague,150,University of Kentucky,2012,19,29,73,74,79.25,96.5,40.5,137,32.5,180,6.3,8.25,7.75,40,10,1,1,0.412,0.33,0.71,1,0,0,1,91,
Bradley Beal,151,University of Florida,2012,19,3,75.25,76.75,80,100,39,139,33,202,6,8.5,9,37,14.8,1,1,0.445,0.34,0.77,1,0,0,1,404,
Festus Ezeli,152,Vanderbilt University,2012,23,30,81.75,83.5,89.75,108,33.5,141.5,34,264,5.5,9,10.75,121,7.7,1,1,0.562,0,0.58,0,0,1,1,170,
Jeff Taylor,153,Texas Tech University,2012,23,31,78,79.25,78.25,101.5,40,141.5,33.5,213,4.2,8.25,9.75,115,12.4,1,1,0.509,0,0.78,1,0,0,1,56,
Tomas Satoransky,154,0,2012,25,32,78.5,79.5,79.25,100,,,,201,5.2,8.5,9.5,0,0,1,1,0,0,0,1,0,0,1,128,
Bernard James,155,Florida State University,2012,27,33,80.75,82,87,108.5,32.5,141,30,230,5,9,9.25,69,9.7,1,1,0.627,0,0.53,0,0,1,1,92,
Jae Crowder,156,Marquette University,2012,22,34,76.75,78.5,81.25,99.5,34.5,134,31,241,9,9.5,10.5,72,14.6,1,1,0.492,0.35,0.68,0,1,0,1,461,
Draymond Green,157,Michigan State University,2012,22,35,77.75,79.5,85.25,105,33,138,28,236,11.3,9,9.5,145,10.5,1,1,0.467,0.36,0.69,0,1,0,1,466,
Orlando Johnson,158,"Loyola Marymount University, University of California, Santa Barbara",2012,23,36,75.75,77.25,83.25,99,39.5,138.5,32,224,7,9,9.5,124,17.8,1,1,0.457,0.39,0.72,1,0,0,1,103,
Quincy Acy,159,Baylor University,2012,22,37,78.5,79.75,86.75,106.5,37,143.5,32,224,7.1,9.5,11,139,9.8,1,1,0.602,0.43,0.71,0,1,0,1,325,
Quincy Miller,160,Baylor University,2012,20,38,80.75,82,85.25,105,36,141,30.5,219,7.8,9.25,10.25,37,10.6,1,1,0.447,0.35,0.82,0,1,0,1,69,
Khris Middleton,161,Texas A&M University,2012,21,39,78.75,80.25,82.75,103,31,134,28,216,7.8,9,9,87,11.3,1,1,0.431,0.32,0.77,0,1,0,1,376,
Dion Waiters,162,Syracuse University,2012,21,4,74.5,76,79.25,98,,,,221,8.5,8.5,9.5,71,9.7,1,1,0.453,0.35,0.75,1,0,0,1,365,
Will Barton,163,University of Memphis,2012,21,40,77,78,81.75,102.5,34,136.5,30,174,4.1,9,9.5,70,15.2,1,1,0.471,0.3,0.73,1,0,0,1,393,
Tyshawn Taylor,164,University of Kansas,2012,22,41,74.75,76,78.25,97.5,36.5,134,32,177,4.2,8.75,8.75,146,10.8,1,1,0.477,0.37,0.71,1,0,0,1,61,
Doron Lamb,165,University of Kentucky,2012,21,42,75.25,76.75,78.75,98.5,33.5,132,29,199,6.7,8.5,8.75,78,13.1,1,1,0.485,0.48,0.81,1,0,0,1,100,
Mike Scott,166,University of Virginia,2012,24,43,79.25,80.75,82.75,104,32.5,136.5,27,241,10.6,8.5,9,130,11.8,1,1,0.521,0.36,0.78,0,1,0,1,355,
Kim English,167,University of Missouri,2012,24,44,76.5,77.75,78.5,98,36.5,134.5,29,192,4.3,8.5,8.75,141,11.1,1,1,0.42,0.39,0.73,1,0,0,1,41,
Darius Miller,168,University of Kentucky,2012,22,46,78,79.5,81,101,37,138,33,233,7.5,8.5,8.75,152,8.2,1,1,0.448,0.38,0.82,0,1,0,1,182,
Kevin Murphy,169,Tennessee Technological University,2012,22,47,77,78.25,78.75,99,36.5,135.5,31,194,5.8,8.5,8.5,128,15.8,1,1,0.443,0.37,0.73,1,0,0,1,17,
Kyle O'Quinn,170,Norfolk State University,2012,22,49,80.5,82,88.75,106.5,31.5,138,31.5,241,8,9.5,10,129,12.5,1,1,0.553,0.26,0.69,0,1,0,1,396,
Thomas Robinson,171,University of Kansas,2012,21,5,79.75,80.75,87.25,106,35.5,141.5,28.5,244,5,9.75,10.5,105,9.8,1,1,0.525,0.5,0.61,0,1,0,1,313,
Kris Joseph,172,Syracuse University,2012,24,51,78,79,83,104,35,139,28.5,215,8.6,9,9,140,10.5,1,1,0.449,0.33,0.7,0,1,0,1,10,
Darius Johnson-Odom,173,Marquette University,2012,23,55,73.5,75,79,96,41.5,137.5,33.5,212,7,8.75,8.75,105,15.7,1,1,0.444,0.4,0.72,1,0,0,1,7,
Robbie Hummel,174,Purdue University,2012,24,58,79.25,80.5,80.5,102,30,132,27.5,218,9.4,8.5,9.5,127,14,1,1,0.443,0.39,0.84,0,1,0,1,98,
Damian Lillard,175,Weber State University,2012,22,6,73.75,74.75,79.75,95.5,39.5,135,34.5,189,5.9,8.75,9.75,104,18.6,1,1,0.446,0.39,0.87,1,0,0,1,467,
Harrison Barnes,176,University of North Carolina,2012,20,7,79,80,83.25,101.5,39.5,141,38,228,9.6,9,8.5,75,16.3,1,1,0.43,0.35,0.73,0,1,0,1,463,
Terrence Ross,177,University of Washington,2012,21,8,78,79,79.25,100.5,37.5,138,31,197,3.2,8.75,10.25,69,12.3,1,1,0.453,0.36,0.76,0,1,0,1,410,
Andre Drummond,178,University of Connecticut,2012,19,9,81.75,83.75,90.25,109.5,33.5,143,31.5,279,7.5,9.5,9.5,34,10,1,1,0.538,0,0.3,0,0,1,1,463,
Drew Gordon,179,"University of California, Los Angeles, University of New Mexico",2012,24,0,80,80.75,83.5,103.5,34,137.5,29,239,9.1,8.5,9.75,101,10,1,1,0.541,0.5,0.69,0,1,0,0,9,
Henry Sims,180,Georgetown University,2012,22,0,82,83.75,88,108,29.5,137.5,26.5,241,7.7,9.25,10,121,4.9,1,1,0.479,0.12,0.65,0,0,1,0,135,
Hollis Thompson,181,Georgetown University,2012,22,0,78.75,80,81.5,102.5,36.5,139,28.5,206,6,8.25,9.75,99,8.7,1,1,0.478,0.44,0.68,1,1,0,0,265,
JaMychal Green,182,University of Alabama,2012,24,0,80,81,86.25,106.5,32.5,139,29.5,217,9.8,9.25,9.25,123,13.5,1,1,0.519,0.18,0.71,0,1,0,0,234,
Kevin Jones,183,West Virginia University,2012,23,0,78.25,79.5,85.5,105,32.5,137.5,27.5,251,11.2,9,7.75,139,13.1,1,1,0.494,0.32,0.68,0,1,0,0,32,
Scott Machado,184,Iona College,2012,22,0,73,74,76,94.5,32.5,127,27,206,5.8,8.5,9.5,132,12.2,1,1,0.429,0.34,0.74,1,0,0,0,6,
Tony Mitchell,185,University of Alabama,2012,24,0,77.25,78.25,82,100,40,140,31.5,216,5.7,8.5,10,89,12.7,1,1,0.493,0.3,0.63,0,1,0,0,3,
C.J. McCollum,186,Lehigh University,2013,22,10,74.25,75.25,78.25,96.5,38.5,135,32,197,8.6,8,9.5,111,21.3,1,1,0.439,0.38,0.83,1,0,0,1,339,
Michael Carter-Williams,187,Syracuse University,2013,22,11,76.75,77.75,79.25,101,41,142,31.5,184,4.4,7.5,8.5,66,8.2,1,1,0.398,0.31,0.68,1,0,0,1,287,
Steven Adams,188,University of Pittsburgh,2013,20,12,82.75,84,88.5,109.5,33,142.5,28.5,255,6.7,9.5,11,32,7.2,1,1,0.571,0,0.44,0,0,1,1,385,
Kelly Olynyk,189,Gonzaga University,2013,22,13,82.75,84,81.75,108,29.5,137.5,24.5,234,6.7,8.5,10,101,8.9,1,1,0.594,0.33,0.71,0,0,1,1,352,
Shabazz Muhammad,190,"University of California, Los Angeles",2013,21,14,76.75,78.25,83,104.5,37,141.5,29.5,222,9,9,10,32,17.9,1,1,0.443,0.38,0.71,0,1,0,1,277,
Dennis Schroeder,191,0,2013,20,17,73,74,79.75,98,34,132,30,165,4.1,8.75,10.5,0,0,1,1,0,0,0,1,0,0,1,352,
Shane Larkin,192,University of Miami,2013,21,18,70.25,71.5,70.75,89.5,44,133.5,34.5,171,3.8,7.5,8.75,68,11.2,1,1,0.438,0.38,0.81,1,0,0,1,254,
Victor Oladipo,193,Indiana University,2013,21,2,75.25,76.25,81.25,100.5,42,142.5,33,213,6.6,8.75,9.25,104,10.7,1,1,0.538,0.34,0.72,1,0,0,1,366,
Tony Snell,194,University of New Mexico,2013,22,20,78,79.25,83.5,105.5,36.5,142,30,198,4.9,9,9.5,104,9.2,1,1,0.421,0.38,0.82,1,1,0,1,366,
Gorgui Dieng,195,University of Louisville,2013,23,21,81.75,82.75,87.5,111.5,,,,230,5.4,9,10,102,8.3,1,1,0.545,0.33,0.64,0,0,1,1,374,
Mason Plumlee,196,Duke University,2013,23,22,83.25,84.5,83,108,36,144,30.5,238,6.2,9.75,9.5,141,9.8,1,1,0.574,0.2,0.58,0,0,1,1,387,
Solomon Hill,197,University of Arizona,2013,22,23,77.5,79,81,103,37.5,140.5,29.5,226,7.6,9,10.5,139,10.3,1,1,0.481,0.38,0.75,0,1,0,1,259,
Tim Hardaway Jr,198,University of Michigan,2013,21,24,76.5,78.25,79,101,37.5,138.5,31.5,199,6.1,8,9.25,107,14.3,1,1,0.425,0.34,0.72,1,0,0,1,338,
Reggie Bullock,199,University of North Carolina,2013,22,25,77.75,79,80.75,102,36.5,138.5,31,200,7,8.5,9,100,9.9,1,1,0.439,0.39,0.72,1,1,0,1,209,
Andre Roberson,200,University of Colorado,2013,22,26,78.25,79,83,104.5,36.5,141,30,206,7.1,8.75,9.5,105,9.6,1,1,0.516,0.35,0.58,1,1,0,1,295,
Rudy Gobert,201,0,2013,21,27,84.5,86,92.5,115,29,144,25,238,4.4,9.75,10,0,0,1,1,0,0,0,0,0,1,1,323,
Archie Goodwin,202,University of Kentucky,2013,19,29,75.75,77.25,81.5,102,36,138,30,189,4.6,8.5,9,33,14.1,1,1,0.44,0.27,0.64,1,0,0,1,165,
Otto Porter,203,Georgetown University,2013,20,3,79.5,80.5,85.5,105.5,36,141.5,27,198,6.7,8.75,9.25,64,12.8,1,1,0.498,0.36,0.75,0,1,0,1,342,
Allen Crabbe,204,University of California,2013,21,31,77.25,78.25,83.25,103.5,36,139.5,30.5,197,4.7,8.25,8.5,98,15.7,1,1,0.446,0.38,0.82,1,1,0,1,299,
Carrick Felix,205,Arizona State University,2013,23,33,76.75,78.25,81.25,103.5,38.5,142,32,203,3.3,8.5,9.5,94,10.2,1,1,0.456,0.33,0.7,1,0,0,1,7,
Isaiah Canaan,206,Murray State University,2013,22,34,71,72,76.5,94.5,40.5,135,33,188,5.9,8.25,9.5,132,15.5,1,1,0.45,0.42,0.8,1,0,0,1,205,
Glen Rice,207,University of Michigan,2013,22,35,76.5,77.75,81.25,101.5,40.5,142,33,211,8.5,8.5,9,134,18.2,1,1,0.569,0.48,0.8,0,1,0,1,1000,
Ray McCallum,208,University of Detroit Mercy,2013,22,36,72.25,73.75,75.25,96.5,40,136.5,30.5,191,7.3,8,8.75,102,15.9,1,1,0.465,0.29,0.72,1,0,0,1,154,
Tony Mitchell,209,University of Alabama,2013,24,37,79.5,80.75,86.5,106.5,38,144.5,33.5,236,5.6,9,10,89,12.7,1,1,0.493,0.3,0.63,0,1,0,1,3,
Nate Wolters,210,South Dakota State University,2013,22,38,75.5,76.75,75.75,98,,,,196,5.5,8.25,8.75,127,18.5,1,1,0.45,0.34,0.8,1,0,0,1,84,
Jeff Withey,211,University of Kansas,2013,23,39,82.75,84.5,86,110.5,29,139.5,26.5,222,8.7,9,9.75,117,8,1,1,0.568,1,0.73,0,0,1,1,206,
Cody Zeller,212,Indiana University,2013,21,4,82.75,84.25,82.75,106,37.5,143.5,35.5,230,4.8,8.5,10.5,72,16.1,1,1,0.592,0,0.76,0,0,1,1,312,
Grant Jerrett,213,University of Arizona,2013,21,40,80.75,82.25,86,109,34,143,28.5,232,10.1,8.5,9.25,34,5.2,1,1,0.409,0.41,0.82,0,1,0,1,8,
Jamaal Franklin,214,San Diego State University,2013,22,41,76,77.25,83.25,103.5,,,,191,8.3,8.5,8.25,85,13.7,1,1,0.426,0.3,0.78,1,0,0,1,24,
Pierre Jackson,215,Baylor University,2013,25,42,69.5,70.5,70,90,,,,176,4.5,7.5,8.25,74,16.7,1,1,0.441,0.38,0.81,1,0,0,1,8,
Ricky Ledo,216,0,2013,21,43,76.75,78,79.25,102.5,33.5,136,27,197,10.3,8.5,9.25,0,0,1,1,0,0,0,1,0,0,1,28,
Mike Muscala,217,Bucknell University,2013,22,44,82.25,83.5,85,108,33.5,141.5,28,230,6.8,8.5,9,133,15.3,1,1,0.501,0.31,0.82,0,1,0,1,242,
Erick Green,218,Virginia Polytechnic Institute and State University,2013,23,46,73.5,75,77.75,98,,,,178,4.4,8.5,9,129,13.5,1,1,0.437,0.34,0.8,1,0,0,1,52,
Ryan Kelly,219,Duke University,2013,22,48,81.75,83.75,83.5,110,,,,228,14.8,9,10,126,7.5,1,1,0.46,0.38,0.81,0,1,0,1,163,
Erik Murphy,220,University of Florida,2013,23,49,80.75,81.5,82.5,108,29.5,137.5,24.5,240,8,8.75,9.75,136,7.7,1,1,0.514,0.44,0.76,0,1,0,1,24,
James Ennis,221,"California State University, Long Beach",2013,24,50,77.75,79,83.5,104.5,36.5,141,29.5,201,4.5,8.5,8.75,0,0,1,1,0,0,0,0,1,0,1,218,
Lorenzo Brown,222,North Carolina State University,2013,23,52,76,77.25,79,100,34,134,28,189,4,8.25,8.5,101,11.6,1,1,0.429,0.31,0.74,1,0,0,1,76,
Peyton Siva,223,University of Louisville,2013,23,56,71.5,73,75,93,41.5,134.5,33.5,181,6.1,8,9.75,144,8.4,1,1,0.417,0.29,0.74,1,0,0,1,24,
Nerlens Noel,224,University of Kentucky,2013,20,6,82,83.75,87.75,110,,,,206,4.2,9.5,10,24,10.5,1,1,0.59,0,0.53,0,0,1,1,223,
Ben McLemore,225,University of Kansas,2013,20,7,75.5,76.75,79.75,100.5,42,142.5,32.5,189,5,8.75,9.5,37,15.9,1,1,0.495,0.42,0.87,1,0,0,1,347,
Kentavious Caldwell-Pope,226,University of Georgia,2013,20,8,76.5,77.5,80,100.5,34.5,135,29,204,6.5,8.5,9,64,15.8,1,1,0.415,0.34,0.75,1,0,0,1,386,
Trey Burke,227,University of Michigan,2013,21,9,71.75,73.25,77.5,97.5,36.5,134,29.5,187,6.9,8.25,8.75,73,16.9,1,1,0.45,0.37,0.78,1,0,0,1,301,
Adonis Thomas,228,"University of North Carolina, University of Memphis",2013,20,0,76.75,77.75,85,99,40.5,139.5,34.5,232,7.5,9.25,9.5,55,10.7,1,1,0.426,0.33,0.75,0,1,0,0,6,
Brandon Davies,229,Brigham Young University,2013,22,0,80.5,82.25,85.5,108.5,31.5,140,26,242,8.6,9,11,135,12.4,1,1,0.522,0.33,0.66,0,1,0,0,78,
Brandon Paul,230,University of Illinois at Urbana-Champaign,2013,26,0,74.75,76,82.25,98,39.5,137.5,33.5,201,5.3,8.5,9.5,138,12,1,1,0.384,0.33,0.72,1,0,0,0,62,
DeWayne Dedmon,231,University of Southern California,2013,24,0,82,83.5,88,109,32.5,141.5,28,239,8.4,9,11,51,7.1,1,1,0.52,0,0.61,0,0,1,0,285,
James Southerland,232,Syracuse University,2013,23,0,79,80,85,106,32,138,29,221,8.1,8,9.5,112,7.9,1,1,0.449,0.37,0.74,0,1,0,0,4,
Phil Pressey,233,University of Missouri,2013,22,0,69.5,71.5,74.25,92,38.5,130.5,33,177,4.7,7.75,9.75,99,9.7,1,1,0.395,0.35,0.76,1,0,0,0,148,
Robert Covington,234,Tennessee State University,2013,23,0,78.25,79.5,85.75,106,36,142,29.5,209,4.7,9,8.5,118,14.8,1,1,0.476,0.42,0.8,0,1,0,0,289,
Seth Curry,235,"Liberty University, Duke University",2013,23,0,73,75,76,97.5,,,,179,9.6,8,8.25,141,14.9,1,1,0.431,0.39,0.83,1,0,0,0,118,
Vander Blue,236,Marquette University,2013,21,0,75.5,77.25,78,100.5,37.5,138,28,197,4.6,8.5,9.5,106,9.3,1,1,0.429,0.28,0.7,1,0,0,0,10,
Elfrid Payton,237,University of Louisiana at Lafayette,2014,20,10,74.5,75.75,80,98.5,35.5,134,31.5,185,5.7,8.75,9,100,14.3,1,1,0.485,0.27,0.61,1,0,0,1,300,
Doug McDermott,238,Creighton University,2014,22,11,78.25,79.75,81.25,103,36.5,139.5,28.5,218,7.1,8.75,9.75,145,21.7,1,1,0.55,0.46,0.83,0,1,0,1,264,
Zach LaVine,239,"University of California, Los Angeles",2014,19,13,76.5,77.75,80.25,100,41.5,141.5,33.5,181,4.7,8.25,8.75,37,9.4,1,1,0.441,0.38,0.69,1,0,0,1,230,
T.J. Warren,240,North Carolina State University,2014,21,14,79,80.25,82.25,104,35.5,139.5,27,220,8,8.75,9,70,18.5,1,1,0.555,0.32,0.65,0,1,0,1,218,
Adreian Payne,241,Michigan State University,2014,23,15,81,81.75,88,109,,,,239,7.6,9.25,9.5,138,8.9,1,1,0.526,0.41,0.76,0,1,0,1,107,
James Young,242,University of Kentucky,2014,19,17,77.25,78.75,84,104,35.5,139.5,28,213,5.1,9,9.5,40,14.3,1,1,0.407,0.35,0.71,1,1,0,1,95,
Tyler Ennis,243,Syracuse University,2014,20,18,73,74.5,79.25,98,36,134,29,182,6.2,8.25,8.75,34,12.9,1,1,0.411,0.35,0.77,1,0,0,1,184,
Gary Harris,244,Michigan State University,2014,20,19,74.5,76.5,78.75,96,,,,205,4.6,8.5,9.5,69,14.9,1,1,0.44,0.38,0.79,1,0,0,1,253,
Jordan Adams,245,"University of California, Los Angeles",2014,20,22,75.5,76.75,82,102,29.5,131.5,24.5,209,10.8,8.5,7.5,69,16.4,1,1,0.467,0.33,0.84,1,0,0,1,32,
Rodney Hood,246,"Mississippi State University, Duke University",2014,22,23,79.25,80.5,80.5,103,36,139,29,208,7.5,8.5,8.5,67,13.3,1,1,0.455,0.4,0.77,1,1,0,1,248,
Shabazz Napier,247,University of Connecticut,2014,23,24,71,73,75.25,93,37.5,130.5,30.5,175,7.4,8.25,8.5,143,13.7,1,1,0.411,0.38,0.81,1,0,0,1,231,
P.J. Hairston,248,University of North Carolina,2014,22,26,76.25,77.25,81,101,37,138,32,229,8.2,8.75,9.75,71,10,1,1,0.388,0.35,0.8,1,1,0,1,111,
C.J. Wilcox,249,University of Washington,2014,24,28,75.5,77,81.75,100.5,37.5,138,31,201,6.5,8.75,9,131,14.4,1,1,0.433,0.39,0.84,1,0,0,1,66,
Kyle Anderson,250,"University of California, Los Angeles",2014,21,30,79.5,80.5,86.75,107.5,,,,230,13.4,8.25,8.75,71,12.2,1,1,0.452,0.38,0.74,0,1,0,1,255,
K.J. McDaniels,251,Clemson University,2014,21,32,76.5,78,83.25,102,37,139,33,196,4.5,8.75,9.75,94,11,1,1,0.45,0.31,0.77,1,1,0,1,148,
Joe Harris,252,University of Virginia,2014,23,33,76.75,78.25,78,100,33.5,133.5,28.5,215,6.2,8.5,9.75,135,12.6,1,1,0.445,0.41,0.72,1,0,0,1,186,
Cleanthony Early,253,Wichita State University,2014,23,34,78,79.25,82.75,101.5,40,141.5,34,209,4.5,8.5,9,75,15.1,1,1,0.47,0.35,0.82,0,1,0,1,56,
Jarnell Stokes,254,University of Tennessee,2014,20,35,79,80.5,85.25,103.5,36,139.5,31,263,8.2,9.75,10.5,87,13,1,1,0.53,0,0.63,0,1,0,1,28,
Johnny O'Bryant,255,Louisiana State University,2014,21,36,79.25,80.5,86.25,105,35.5,140.5,31,257,10.8,9.25,9.5,91,12.7,1,1,0.467,0.22,0.62,0,1,0,1,147,
Spencer Dinwiddie,256,University of Colorado,2014,21,38,76.5,78,80.25,103,,,,205,5.4,8.25,9,86,13,1,1,0.42,0.39,0.83,1,0,0,1,184,
Jerami Grant,257,Syracuse University,2014,20,39,78.5,79.75,86.75,107,,,,214,3.8,9.25,9.25,72,7.5,1,1,0.486,0.3,0.64,0,1,0,1,301,
Aaron Gordon,258,University of Arizona,2014,19,4,79.5,80.75,83.75,105,39,144,32.5,220,5.1,8.75,10.5,38,12.4,1,1,0.495,0.36,0.42,0,1,0,1,261,
Glenn Robinson,259,Purdue University,2014,21,40,77.5,78.75,82,100.5,41.5,142,36.5,211,5.1,9,9.5,62,27.5,1,1,0.479,0.39,0.77,0,1,0,1,688,
Nick Johnson,260,University of Arizona,2014,22,42,73.5,75,79.25,96.5,41.5,138,33.5,198,6.1,8.75,9.75,108,12.3,1,1,0.421,0.36,0.73,1,0,0,1,28,
Markel Brown,261,Oklahoma State University,2014,22,44,74.5,75.5,80.75,100,43.5,143.5,36.5,184,4.2,8.25,9.75,134,12.4,1,1,0.439,0.35,0.73,1,0,0,1,113,
Dwight Powell,262,Stanford University,2014,23,45,81.5,83,84.5,105,35,140,28.5,234,6.2,9,9.25,136,10.8,1,1,0.464,0.29,0.72,0,1,0,1,253,
Jordan Clarkson,263,"University of Tulsa, University of Missouri",2014,22,46,75.25,77,80,98,38.5,136.5,33,186,4.3,8.25,9,93,15.4,1,1,0.44,0.32,0.81,1,0,0,1,299,
Russ Smith,264,University of Louisville,2014,23,47,71.5,72.75,75.5,95,34,129,29.5,160,3.5,8.25,8.5,133,14.3,1,1,0.413,0.35,0.76,1,0,0,1,27,
Lamar Patterson,265,University of Pittsburgh,2014,24,48,76,77.25,83,101,32.5,133.5,27.5,226,10.8,9,9.25,149,9.5,1,1,0.435,0.37,0.72,1,1,0,1,40,
Cameron Bairstow,266,University of New Mexico,2014,24,49,80.75,81.75,84.75,107,33.5,140.5,31,252,8.7,8.75,9,134,9.2,1,1,0.517,0.33,0.72,0,1,0,1,36,
Dante Exum,267,0,2014,19,5,76.5,78,81.5,103,34.5,137.5,31.5,196,6.4,8.5,9.5,0,0,1,1,0,0,0,1,0,0,1,160,
Thanasis Antetokounmpo,268,0,2014,23,51,77.25,78.25,84,104.5,39.5,144,31.5,205,6.1,9,9.75,0,0,1,1,0,0,0,0,1,0,1,2,
Semaj Christon,269,Xavier University,2014,24,55,73.5,75.25,78.5,99,36.5,135.5,30.5,186,5.3,8.5,8.25,64,16.2,1,1,0.462,0.34,0.67,1,0,0,1,64,
Devyn Marble,270,University of Iowa,2014,22,56,77,78.5,81,102,35,137,29,192,6.9,8.25,8.5,136,12.5,1,1,0.415,0.34,0.73,1,1,0,1,44,
Jordan McRae,271,University of Tennessee,2014,24,58,75.75,77.25,84.5,104,34.5,138.5,27.5,179,5.2,8.75,8.5,114,13.3,1,1,0.417,0.34,0.77,1,0,0,1,59,
Marcus Smart,272,Oklahoma State University,2014,20,6,74,75.25,81.25,99,36,135,33,227,10.6,9,8.75,64,16.6,1,1,0.413,0.3,0.75,1,0,0,1,261,
Cory Jefferson,273,Baylor University,2014,24,60,79.75,81,84.5,105,37.5,142.5,33,218,5.3,8.75,9.75,130,8.9,1,1,0.543,0.34,0.66,0,1,0,1,58,
Julius Randle,274,University of Kentucky,2014,20,7,79.75,81,84,105.5,35.5,141,29,250,9.4,8.75,8.25,40,15,1,1,0.501,0.17,0.71,0,1,0,1,236,
Nik Stauskas,275,University of Michigan,2014,21,8,77.25,78.5,79.75,102,35.5,137.5,29,207,12.1,8.5,8.5,75,14.1,1,1,0.467,0.44,0.83,1,0,0,1,265,
Noah Vonleh,276,Indiana University,2014,19,9,80,81.5,88.25,108,37,145,31,247,7.3,9.75,11.75,30,11.3,1,1,0.523,0.49,0.72,0,1,0,1,231,
Alex Kirk,277,University of New Mexico,2014,23,0,81.25,82.75,87.5,109.5,31.5,141,28.5,252,13.6,9.25,10.5,101,10,1,1,0.488,0.25,0.68,0,0,1,0,5,
Jabari Brown,278,"University of Oregon, University of Missouri",2014,22,0,75,76.25,80.25,100,32,132,28,202,6.1,9,9.25,62,17,1,1,0.441,0.39,0.78,1,0,0,0,19,
James McAdoo,279,University of North Carolina,2014,21,0,79.5,80.75,86.25,106.5,34,140.5,29.5,228,6.2,9.25,9,108,11.4,1,1,0.447,0,0.57,0,1,0,0,111,
Khem Birch,280,"University of Pittsburgh, University of Nevada, Las Vegas",2014,25,0,79.5,81.25,85,107,35.5,142.5,30.5,209,6,9,8.5,69,8.9,1,1,0.531,0,0.67,0,0,1,0,40,
Sean Kilpatrick,281,University of Cincinnati,2014,24,0,74.5,76.25,79,99,,,,219,9.2,9,9,140,15.3,1,1,0.419,0.35,0.78,1,0,0,0,155,
Justise Winslow,282,Duke University,2015,19,10,76.5,78.5,82.25,104.5,,,,222,5.3,8.5,9.25,39,12.6,1,1,0.486,0.42,0.64,0,1,0,1,162,
Myles Turner,283,University of Texas at Austin,2015,19,11,81.75,83.5,88,112,,,,239,9.3,9.25,9.25,34,10.1,1,1,0.455,0.27,0.84,0,0,1,1,205,
Trey Lyles,284,University of Kentucky,2015,20,12,81,82.25,85.5,108,,,,241,12.1,9.25,10.25,36,8.7,1,1,0.488,0.14,0.74,0,1,0,1,223,
Devin Booker,285,University of Kentucky,2015,19,13,76.5,77.75,80.25,102.5,34.5,137,27.5,206,8.3,8.75,9,38,10,1,1,0.47,0.41,0.83,1,0,0,1,208,
Cameron Payne,286,Murray State University,2015,21,14,72.75,73.5,79.25,97.5,35.5,133,30,183,6.3,8.5,8.25,69,18.5,1,1,0.432,0.36,0.78,1,0,0,1,111,
Kelly Oubre,287,University of Kansas,2015,20,15,77.75,78.75,86.25,102.5,37,139.5,34.5,203,5.7,9,8.75,36,9.3,1,1,0.444,0.36,0.72,0,1,0,1,221,
Terry Rozier,288,University of Louisville,2015,21,16,72.75,74.25,80.25,98.5,38,136.5,33,190,5.6,8.25,8.75,73,12,1,1,0.408,0.33,0.77,1,0,0,1,192,
