draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed
2015,22,37,80.25,81.5,85.5,108.0,36.0,144.0,32.5,243,8.8,8.5,8.5,95,11.5,1,1,0.5539999999999999,0.35,0.7,0,1,0,1,154
2012,24,44,76.5,77.75,78.5,98.0,36.5,134.5,29.0,192,4.3,8.5,8.75,141,11.1,1,1,0.42,0.39,0.73,1,0,0,1,41
2011,23,53,77.0,78.25,83.0,103.5,31.0,134.5,27.0,202,5.0,8.75,10.0,100,5.8,1,1,0.40700000000000003,0.33,0.64,1,0,0,1,175
2013,23,56,71.5,73.0,75.0,93.0,41.5,134.5,33.5,181,6.1,8.0,9.75,144,8.4,1,1,0.41700000000000004,0.29,0.74,1,0,0,1,24
2011,22,60,68.75,70.25,73.75,91.5,40.0,131.5,31.5,186,6.7,8.25,9.0,105,16.4,1,1,0.426,0.33,0.71,1,0,0,1,473
2015,20,12,81.0,82.25,85.5,108.0,33.249917913585435,140.71766497173496,28.442084968698744,241,12.1,9.25,10.25,36,8.7,1,1,0.488,0.14,0.74,0,1,0,1,223
2012,23,31,78.0,79.25,78.25,101.5,40.0,141.5,33.5,213,4.2,8.25,9.75,115,12.4,1,1,0.509,0.0,0.78,1,0,0,1,56
2015,22,27,79.5,80.5,85.5,108.0,37.5,145.5,29.0,227,6.4,9.0,9.75,117,11.5,1,1,0.5329999999999999,0.0,0.63,0,1,0,1,920
2013,25,42,69.5,70.5,70.0,90.0,40.28440689913877,128.7476995515515,32.781527063962145,176,4.5,7.5,8.25,74,16.7,1,1,0.441,0.38,0.81,1,0,0,1,8
2010,21,20,76.75,77.75,80.5,104.0,35.5,139.5,30.0,208,7.9,9.0,7.0,101,17.9,1,1,0.46,0.38,0.8,1,0,0,1,247
2014,23,24,71.0,73.0,75.25,93.0,37.5,130.5,30.5,175,7.4,8.25,8.5,143,13.7,1,1,0.41100000000000003,0.38,0.81,1,0,0,1,231
2015,22,46,75.0,76.25,82.75,102.5,40.5,143.0,32.5,215,6.4,9.25,9.0,141,9.8,1,1,0.461,0.31,0.75,1,0,0,1,193
2010,23,21,80.5,81.75,84.0,109.0,35.0,144.0,26.0,229,7.9,9.5,11.25,96,16.0,1,1,0.445,0.29,0.73,0,1,0,1,17
2011,21,34,73.0,74.5,79.5,96.5,39.0,135.5,32.0,209,7.1,8.25,9.25,108,14.1,1,1,0.419,0.36,0.76,1,0,0,1,397
2015,23,0,72.5,74.0,74.0,96.5,31.5,128.0,26.0,188,7.3,7.5,7.0,139,10.2,1,1,0.49,0.38,0.75,1,0,0,0,236
2009,27,0,76.25,77.5,81.0,102.5,33.5,136.0,27.0,211,7.1,8.605502781806052,9.30251759406238,130,15.7,1,1,0.426,0.36,0.78,1,0,0,0,31
2011,23,21,73.5,75.5,77.5,99.0,34.0,133.0,28.5,188,5.6,8.5,9.25,143,13.4,1,1,0.44799999999999995,0.37,0.8,1,0,0,1,84
2013,26,0,74.75,76.0,82.25,98.0,39.5,137.5,33.5,201,5.3,8.5,9.5,138,12.0,1,1,0.384,0.33,0.72,1,0,0,0,62
2009,21,19,72.25,73.5,79.5,98.5,36.5,135.0,30.5,175,4.5,8.469328723108813,9.191279295801735,61,16.4,1,1,0.462,0.42,0.81,1,0,0,1,668
2009,23,32,75.5,76.75,80.75,101.0,37.5,138.5,34.0,207,5.8,8.582807105356512,9.283977877685604,122,16.2,1,1,0.466,0.38,0.76,1,0,0,1,65
2014,21,8,77.25,78.5,79.75,102.0,35.5,137.5,29.0,207,12.1,8.5,8.5,75,14.1,1,1,0.467,0.44,0.83,1,0,0,1,265
2009,22,16,79.0,79.75,84.75,105.5,35.0,140.5,30.5,257,12.0,8.94593792854915,9.580613339713985,61,14.8,1,1,0.515,0.3,0.69,0,1,0,1,545
2009,22,2,85.25,86.5,90.25,113.0,31.295893195376173,144.385880181146,27.236684386681134,267,6.7,9.445242810439025,9.988487100003008,100,10.3,1,1,0.611,0.0,0.63,0,0,1,1,224
2013,22,38,75.5,76.75,75.75,98.0,37.15796735000396,133.18817059452277,30.852886132733964,196,5.5,8.25,8.75,127,18.5,1,1,0.45,0.34,0.8,1,0,0,1,84
2014,21,38,76.5,78.0,80.25,103.0,35.203942631794696,136.66332184554378,29.647485550716354,205,5.4,8.25,9.0,86,13.0,1,1,0.42,0.39,0.83,1,0,0,1,184
